datetime,open,high,low,close,volume
2025-08-07 13:00:00,147.287,147.319,147.111,147.275,9996
2025-08-07 14:00:00,147.276,147.543,147.197,147.492,11361
2025-08-07 15:00:00,147.491,147.588,147.325,147.366,8352
2025-08-07 16:00:00,147.351,147.439,147.308,147.364,5449
2025-08-07 17:00:00,147.365,147.47,147.356,147.42,6568
2025-08-07 18:00:00,147.418,147.568,147.39,147.567,5233
2025-08-07 19:00:00,147.565,147.568,146.944,147.081,7206
2025-08-07 20:00:00,147.07,147.094,146.956,146.984,2636
2025-08-07 21:00:00,147.07,147.104,146.995,147.012,502
2025-08-07 22:00:00,147.01,147.058,146.812,146.951,3153
2025-08-07 23:00:00,146.947,146.96,146.761,146.806,4105
2025-08-08 00:00:00,146.801,147.192,146.72,147.145,7220
2025-08-08 01:00:00,147.146,147.37,147.135,147.284,5046
2025-08-08 02:00:00,147.288,147.314,147.16,147.199,3817
2025-08-08 03:00:00,147.201,147.304,147.163,147.192,3778
2025-08-08 04:00:00,147.191,147.209,147.117,147.162,3496
2025-08-08 05:00:00,147.169,147.418,147.148,147.412,5119
2025-08-08 06:00:00,147.408,147.454,147.248,147.33,6107
2025-08-08 07:00:00,147.329,147.395,147.136,147.322,7391
2025-08-08 08:00:00,147.321,147.692,147.16,147.647,7984
2025-08-08 09:00:00,147.648,147.726,147.541,147.71,7729
2025-08-08 10:00:00,147.716,147.837,147.64,147.796,5920
2025-08-08 11:00:00,147.798,147.849,147.71,147.816,5486
2025-08-08 12:00:00,147.817,147.893,147.64,147.844,7415
2025-08-08 13:00:00,147.848,147.899,147.642,147.878,7881
2025-08-08 14:00:00,147.88,147.902,147.693,147.817,8398
2025-08-08 15:00:00,147.818,147.832,147.634,147.709,6516
2025-08-08 16:00:00,147.706,147.835,147.678,147.739,6073
2025-08-08 17:00:00,147.736,147.751,147.655,147.743,5212
2025-08-08 18:00:00,147.736,147.777,147.629,147.664,6710
2025-08-08 19:00:00,147.666,147.82,147.644,147.756,4920
2025-08-08 20:00:00,147.757,147.8,147.731,147.77,1684
2025-08-10 21:00:00,147.495,147.635,147.495,147.586,945
2025-08-10 22:00:00,147.604,147.79,147.599,147.727,1953
2025-08-10 23:00:00,147.716,147.774,147.623,147.654,2583
2025-08-11 00:00:00,147.643,147.738,147.575,147.662,5422
2025-08-11 01:00:00,147.667,147.716,147.589,147.616,5002
2025-08-11 02:00:00,147.612,147.618,147.518,147.554,3675
2025-08-11 03:00:00,147.555,147.604,147.43,147.48,3847
2025-08-11 04:00:00,147.479,147.496,147.424,147.484,4482
2025-08-11 05:00:00,147.483,147.533,147.472,147.518,4686
2025-08-11 06:00:00,147.52,147.608,147.472,147.595,5669
2025-08-11 07:00:00,147.594,147.664,147.355,147.389,6460
2025-08-11 08:00:00,147.387,147.547,147.349,147.506,5984
2025-08-11 09:00:00,147.507,147.706,147.486,147.685,5132
2025-08-11 10:00:00,147.682,147.743,147.662,147.737,4674
2025-08-11 11:00:00,147.736,147.944,147.72,147.864,5213
2025-08-11 12:00:00,147.856,147.951,147.809,147.81,6175
2025-08-11 13:00:00,147.809,147.941,147.788,147.888,6958
2025-08-11 14:00:00,147.886,148.074,147.876,148.048,7398
2025-08-11 15:00:00,148.047,148.112,147.944,147.999,5979
2025-08-11 16:00:00,147.994,148.028,147.911,147.991,4980
2025-08-11 17:00:00,147.991,148.07,147.968,147.996,5007
2025-08-11 18:00:00,147.996,148.167,147.982,148.132,4061
2025-08-11 19:00:00,148.131,148.238,148.118,148.225,3451
2025-08-11 20:00:00,148.227,148.251,148.109,148.115,1829
